"Story","Title","Result","Date","Stability","Duration (s)"
"Categories test","Create and Verify if the categories was added to the application","SUCCESS","2021-08-04T22:22:30.777+01:00[Europe/London]","0.0","4.12"
"Categories test","Update categories information and verify the updated information","SUCCESS","2021-08-04T22:22:34.921+01:00[Europe/London]","0.0","0.1"
"Categories test","Update categories information with patch request and verify the updated information","SUCCESS","2021-08-04T22:22:35.020+01:00[Europe/London]","0.0","0.06"
"Categories test","Delete categories information with id and verify it","SUCCESS","2021-08-04T22:22:35.080+01:00[Europe/London]","0.0","0.18"
"Categories test","This will create new categories","SUCCESS","2021-08-04T22:22:35.266+01:00[Europe/London]","0.0","0.08"
"Categories test","This will get all categories","SUCCESS","2021-08-04T22:22:35.349+01:00[Europe/London]","0.0","0.14"
"Categories test","This will get single categories with id","SUCCESS","2021-08-04T22:22:35.490+01:00[Europe/London]","0.0","0.04"
"Categories test","This will get categories with parameters","SUCCESS","2021-08-04T22:22:35.532+01:00[Europe/London]","0.0","0.1"
"Products test","This will create new product","SUCCESS","2021-08-04T22:22:37.140+01:00[Europe/London]","0.0","0.1"
"Products test","This will get all products","SUCCESS","2021-08-04T22:22:37.838+01:00[Europe/London]","0.0","0.22"
"Products test","This will get single product with id","SUCCESS","2021-08-04T22:22:38.060+01:00[Europe/London]","0.0","0.05"
"Products test","This will get products with parameters","SUCCESS","2021-08-04T22:22:38.108+01:00[Europe/London]","0.0","0.23"
"Services test","Create and Verify the services was added to the application","SUCCESS","2021-08-04T22:22:38.436+01:00[Europe/London]","0.0","0.07"
"Services test","Update services information and verify the updated information","SUCCESS","2021-08-04T22:22:38.509+01:00[Europe/London]","0.0","0.05"
"Services test","Delete services information with id and verify it","SUCCESS","2021-08-04T22:22:38.558+01:00[Europe/London]","0.0","0.06"
"Services test","This will create new services","SUCCESS","2021-08-04T22:22:38.615+01:00[Europe/London]","0.0","0.04"
"Services test","This will get all services","SUCCESS","2021-08-04T22:22:38.658+01:00[Europe/London]","0.0","0.02"
"Services test","This will get single services with id","SUCCESS","2021-08-04T22:22:38.676+01:00[Europe/London]","0.0","0.02"
"Services test","This will get services with parameters","SUCCESS","2021-08-04T22:22:38.692+01:00[Europe/London]","0.0","0.02"
"Stores test","Create and Verify the stores was added to the application","SUCCESS","2021-08-04T22:22:38.777+01:00[Europe/London]","0.0","0.06"
"Stores test","Update stores information and verify updated information","SUCCESS","2021-08-04T22:22:38.841+01:00[Europe/London]","0.0","0.05"
"Stores test","Update stores information with patch request and verify information","SUCCESS","2021-08-04T22:22:38.887+01:00[Europe/London]","0.0","0.04"
"Stores test","This will delete the stores information","SUCCESS","2021-08-04T22:22:38.925+01:00[Europe/London]","0.0","0.05"
"Stores test","Create new store","SUCCESS","2021-08-04T22:22:38.976+01:00[Europe/London]","0.0","0.05"
"Stores test","This will get all stores information","SUCCESS","2021-08-04T22:22:39.022+01:00[Europe/London]","0.0","0.06"
"Stores test","This will get single stores information","SUCCESS","2021-08-04T22:22:39.080+01:00[Europe/London]","0.0","0.03"
"Stores test","This will get stores information with parameters limit and skip","SUCCESS","2021-08-04T22:22:39.112+01:00[Europe/London]","0.0","0.04"
"Testing different request on resource product of best buy application","check if product resource of the best buy application can be accessed by users","SUCCESS","2021-08-04T22:22:39.265+01:00[Europe/London]","0.0","0.38"
"Testing different request on resource product of best buy application","Create new products and verify product added","SUCCESS","2021-08-04T22:22:39.710+01:00[Europe/London]","0.0","0.1"
"Testing different request on resource product of best buy application","Delete product and verify product deleted","SUCCESS","2021-08-04T22:22:40.081+01:00[Europe/London]","0.0","0.08"
